tweet_id,text,true_label,predicted_intent,top_similarity,decision,reason
2251423,@SpotifyCares I hope so because I use Spotify everyday and have enlisted others to use it too. Not sure how much more of a fan I can get.,Noise / Unclassifiable,Noise / Unclassifiable,0.682,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2068975,@SpotifyCares Hi I've payed for premium but have a student code but it has charged me £9.99 instead of £4.99,Billing & Payment,Billing & Payment,0.841,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
1970001,@SpotifyCares This is my issue. https://t.co/Cz1UQNeQXy,Noise / Unclassifiable,Noise / Unclassifiable,0.944,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.94 similarity)
1378813,@SpotifyCares When I click certain songs nothing happens. Same thing happened to my friend,Playback & Audio,Playback & Audio,0.827,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.83 similarity)
115346,"@SpotifyCares Hi, how much does it care to get your (my) artist profile verified? It's been 2/3 week since I first sended the request and I've got no email back from your team :c",How-to / General Question,How-to / General Question,0.79,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.79 similarity)
2004934,why does @115888 webplayer wanna be super difficult and not let me use my computer controls for the volume? wtf is this shit,App & Technical Issues,Playback & Audio,0.663,ESCALATE,"Low retrieval confidence (0.66 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2602374,"@SpotifyCares Hmm, so is the iPhone issue an @115858 problem or a ""Spotify is making money off the data somehow"" problem? This isn't something new.",App & Technical Issues,App & Technical Issues,0.772,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.77 similarity)
2895,@115888 is this legit,Noise / Unclassifiable,Noise / Unclassifiable,0.739,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1521360,@115888 I do not want to connect with Waze why can't I just X out of this screen!?! https://t.co/4EEIdD3AUK,App & Technical Issues,App & Technical Issues,0.653,ESCALATE,"Low retrieval confidence (0.65 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1850974,@115888 why do I have a bunch of songs greyed out on my songs list??..,Content Availability,Content Availability,0.797,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
1505219,@115888 why’d you delete over 500 of my songs fam?,App & Technical Issues,Playlist & Library,0.837,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
2063857,@117153 switched credit card info to pay for my premium ended up getting charged twice &amp; premium isn't working now,Billing & Payment,Billing & Payment,0.828,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2447648,"@SpotifyCares Fantastic, please do. Need my jazz groove so work isn't soul sucking as much. https://t.co/WRuumHFphH",Noise / Unclassifiable,Playlist & Library,0.711,ESCALATE,"Low retrieval confidence (0.71 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
875188,"@AppleSupport @SpotifyCares Already closed spotify, when I turn it on again, goes back to the beatles song and the button ff and play don’t work",Playback & Audio,Playback & Audio,0.771,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.77 similarity)
2738278,Hey @115888 - trying to upgrade to the family plan and getting this error message! Any idea what might be happening?? https://t.co/uyprW0d8U7,Premium & Subscription,Billing & Payment,0.659,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
777912,@SpotifyCares please i need it in my country,Content Availability,Content Availability,0.815,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.81 similarity)
1783601,"Yo @SpotifyCares, can you help me change my username?? I'm over being asaginger19",Account & Login,Account & Login,0.858,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2317026,do i play christmas songs on my drive to work this morning? or will i want a bop? or will i want an all out disney sing along sesh? or to cry to bob dylan? aka why doesn’t @115888 have a shuffle all playlists option.  that is all.,Noise / Unclassifiable,Feature Request / Feedback,0.589,ESCALATE,"Low retrieval confidence (0.59 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1546237,"@115888 Another day, another playlist on @115888 refusing to play any songs that are actually on my playlist...just whatever songs it wants 🤷🏼‍♀️",Playback & Audio,Playback & Audio,0.82,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.82 similarity)
50626,@116130 please can someone tell me how to get shuffle working properly? 😂🙈 what's happened to the app?!,Playback & Audio,Playback & Audio,0.726,ESCALATE,"Low retrieval confidence (0.73 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1877948,@spotifycares That's on an Andriod BTW. Samsung S7,Noise / Unclassifiable,Noise / Unclassifiable,0.83,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.83 similarity)
2629117,@115888 where is the perfect velvet😔,Content Availability,Content Availability,0.753,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.75 similarity)
782960,@SpotifyCares thank you! i am on the web player.,Noise / Unclassifiable,Noise / Unclassifiable,0.848,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
1224223,@SpotifyCares It’s set to the United States.. I live in America,Noise / Unclassifiable,Noise / Unclassifiable,0.966,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.97 similarity)
2580747,"Well, my free week of spotify was nice while it lasted... Time to delete since this app is worthless without premium",Noise / Unclassifiable,Noise / Unclassifiable,0.747,ESCALATE,"Low retrieval confidence (0.75 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1788076,@115888 @SpotifyCares I already have a student account and want to add @115940 @hulu_support but it wants me to sign up again not sure what to do.,Premium & Subscription,Feature Request / Feedback,0.848,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
321501,"@SpotifyCares done, thank you.",Noise / Unclassifiable,Noise / Unclassifiable,0.973,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.97 similarity)
780954,@115888 @SpotifyCares what’s the presale code for @26720???,How-to / General Question,Noise / Unclassifiable,0.915,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.91 similarity)
2054096,.@31949 @SpotifyCares please help,Noise / Unclassifiable,Noise / Unclassifiable,0.872,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.87 similarity)
2051919,@SpotifyCares I can’t remember my password for Spotify or the email I used to sign up for it with and I need to cancel premium soon..advice?,Account & Login,Account & Login,0.931,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
113853,@115888 What about existing customers who pay much more every month??,Billing & Payment,Billing & Payment,0.724,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
1866482,@SpotifyCares how are you?,Noise / Unclassifiable,Noise / Unclassifiable,0.876,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.88 similarity)
1228153,@115888 My music is sounding like a scratched CD! What's going on?? #premiumaccount #downloadedmusic,Playback & Audio,Playback & Audio,0.661,ESCALATE,"Low retrieval confidence (0.66 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2779488,@115888 where can we get the access code for Romeo Santos pre sale tickets??  I have spotify,How-to / General Question,How-to / General Question,0.743,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1026352,@115888 if I already have premium can I still switch it to the student subscription??,Premium & Subscription,Premium & Subscription,0.847,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
2714737,@SpotifyCares Thanks MT. Really looking forward to options to turn off pictures of Drake and disable Drake pictures!,Feature Request / Feedback,Feature Request / Feedback,0.58,ESCALATE,"Low retrieval confidence (0.58 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1308316,@115888 This tweet released it LET’S GO!!,Noise / Unclassifiable,Noise / Unclassifiable,0.796,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
272951,@SpotifyCares Device is Huawei Google Nexus 6P. Android 8.0. Spotify ver 8.4.21.508,Noise / Unclassifiable,Noise / Unclassifiable,0.819,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.82 similarity)
2360613,"@SpotifyCares That fixed it. Thanks.
Still strange",Noise / Unclassifiable,Noise / Unclassifiable,0.947,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.95 similarity)
620375,"@SpotifyCares Following all song of:
Singer.   Kumar Sanu

Movie.  Aashiqui 
Song.   Dheere dheere se meri (all songs)

&amp;
Movie.  Sapne Sajan Ke
Song.  Yeh dua hai meri

&amp;
Movie. Gunda Mawali
Song.  Raju Awara

Above mentioned songs are very famous. Plz upload and let me know.

Regards",Noise / Unclassifiable,Feature Request / Feedback,0.554,ESCALATE,"Low retrieval confidence (0.55 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1962018,@SpotifyCares Cdbaby is my distributor i have a artist page on spotify already w/ blue check,Noise / Unclassifiable,Feature Request / Feedback,0.75,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.75 similarity)
1121933,"Why the album not referenced on @46402 ?

https://t.co/rq6IDMfIVV

@SpotifyCares @46403",Content Availability,Content Availability,0.78,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.78 similarity)
